CustomerID,ChurnProbability,RiskCategory,RetentionRecommendation,BusinessRecommendation
CUST0001,0.9778977,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0002,0.00029372686,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0003,0.08995149,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0004,0.99911684,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0005,0.037595484,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0006,0.0036900926,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0007,0.9973521,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0008,0.9995389,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0009,0.99918526,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0010,0.9917869,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0011,0.9827239,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0012,0.00024493286,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0013,0.9997002,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0014,0.99899095,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0015,0.009224327,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0016,0.9992823,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0017,0.97789395,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0018,0.007567455,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0019,0.011318246,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0020,0.99951124,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0021,0.9998479,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0022,0.018796558,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0023,0.97012186,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0024,0.99962354,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0025,0.016849779,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0026,0.026113104,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
